REGIONE,PROVINCIA,PLESSO/SCUOLA,DENOMINAZIONE,ISTITUTO PRINCIPALE,DENOMINAZIONE ISTITUTO PRINCIPALE,INDIRIZZO,CAP,COMUNE,CARATTERISTICA,TIPO ISTITUZIONE,LATITUDINE,LONGITUDINE
Toscana,Prato,POEE819032,IVANA MARCOCCI,POIC81900T,PRIMO LEVI,"VIA A. SOFFICI, 30",59100,PRATO,,SCUOLA PRIMARIA,"43,849310","11,078270"
Toscana,Prato,POEE820036,GIAMPAOLO MEUCCI,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA MARRADI 2,59100,PRATO,,SCUOLA PRIMARIA,"43,968370","11,126650"
Toscana,Prato,POEE819043,LAURA POLI,POIC81900T,PRIMO LEVI,"VIA MILIOTTI, 4",59100,PRATO,,SCUOLA PRIMARIA,"43,861570","11,082140"
Toscana,Prato,POEE820047,A.MEONI,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA CANTAGALLO 37 -PRATO,59100,PRATO,,SCUOLA PRIMARIA,"43,902430","11,098690"
Toscana,Prato,POEE820058,,POIC820002,ISTITUTO COMPRENSIVO NORD,"VIA CORSANI,17",59100,PRATO,,SCUOLA PRIMARIA,,
Toscana,Prato,POIC804004,IC CURZIO MALAPARTE,POIC804004,IC CURZIO MALAPARTE,VIA        BALDANZI            18,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,872320","11,098830"
Toscana,Prato,POIC80500X,CONVENEVOLE,POIC80500X,CONVENEVOLE,VIA        I MAGGIO            40,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,865340","11,092780"
Toscana,Prato,POIC80800B,P. MASCAGNI,POIC80800B,P. MASCAGNI,"VIA TOSCANINI,6",59100,PRATO,,ISTITUTO COMPRENSIVO,"43,882380","11,076420"
Toscana,Prato,POIC809007,MARCO POLO,POIC809007,MARCO POLO,VIA S.CATERINA 14,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,880120","11,093390"
Toscana,Prato,POIC812003,ROBERTO CASTELLANI,POIC812003,ROBERTO CASTELLANI,VIA DELLA POLLA 34,59014,PRATO,,ISTITUTO COMPRENSIVO,"43,858730","11,042320"
Toscana,Prato,POIC81300V,DON LORENZO MILANI,POIC81300V,DON LORENZO MILANI,VIA DELLE GARDENIE 73,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,873520","11,070380"
Toscana,Prato,POIC81400P,GANDHI,POIC81400P,GANDHI,VIA MANNOCCI 23/G,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,884990","11,053960"
Toscana,Prato,POIC81500E,F.LIPPI,POIC81500E,F.LIPPI,VIA F. CORRIDONI 11,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,893510","11,091680"
Toscana,Prato,POIC81600A,IC CLAUDIO PUDDU,POIC81600A,IC CLAUDIO PUDDU,VIA MONTALESE 245/A,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,900620","11,076990"
Toscana,Prato,POIC817006,GB.MAZZONI,POIC817006,GB.MAZZONI,VIA S. SILVESTRO 11,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,878410","11,101690"
Toscana,Prato,POIC818002,"IC ""PIER CIRONI""",POIC818002,"IC ""PIER CIRONI""",VIALE DELLA REPUBBLICA 17/19,59100,PRATO,,ISTITUTO COMPRENSIVO,"43,868590","11,113910"
Toscana,Prato,POIC81900T,PRIMO LEVI,POIC81900T,PRIMO LEVI,"VIA ROMA, 266",59100,PRATO,,ISTITUTO COMPRENSIVO,"43,865510","11,083890"
Toscana,Prato,POIC820002,ISTITUTO COMPRENSIVO NORD,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA        GHERARDI            66,59100,PRATO,,ISTITUTO COMPRENSIVO,,
Toscana,Prato,POIC82100T,IVA PACETTI,POIC82100T,IVA PACETTI,VIA DEL GHIRLANDAIO 5,59100,PRATO,,ISTITUTO COMPRENSIVO,,
Toscana,Prato,POIS00100R,F. CICOGNINI - G. RODARI,POIS00100R,F. CICOGNINI - G. RODARI,"VIA GALCIANESE, 20/4",59100,PRATO,,ISTITUTO SUPERIORE,"43,878930","11,082690"
